APP Features 1,Review 1,App Features 2,Review 2,Fiaz,Naveen,target_label,e12,e21,c12,c21,nli_score,lex_score,lex_jaccard,lex_cosine,contradiction,rule_flag,final_score,pred,match
log out,I love it jus like a pc very easy to log in and out enjoy friends and meet new ones along with family and classmates.would reccomend to everyone;awesome app but first you have to log out and in but still awesome app you should get it it is great;Need to be login & log out feature for security reason or password option,logged out,The app worked generally as expected the first launch.But today it required that I log in again (why I was logged out is unknown) then crashes after a login timeout.,1,1,1,0.9946920275688171,0.9907801747322083,0.0036880411207675934,0.005976738873869181,0.9951548849203209,0.8119799718260765,0.2512820512820513,0.8119799718260765,0.005976738873869181,0.0,0.9035674283731987,1,1
make a file,"I can make a file for everything from my son's funny quotes, to homework and tasks, as well as make separate note files for both of my non profits.",make a note,Make a note of that.,0,0,0,0.9889320135116577,0.004080689046531916,0.005419519729912281,0.002582985907793045,0.8034634656485533,0.6374680623412132,0.32407407407407407,0.6374680623412132,0.005419519729912281,0.0,0.7204657639948833,0,1
make quick note,very handy to either make quick note while out or lengthy one at home from computerwould recommend to family or friends,make a note,Make a note of that.,1,1,1,0.9675864577293396,0.13094258308410645,0.008290013298392296,0.005374779459089041,0.976038274525519,0.762791357934475,0.29545454545454547,0.762791357934475,0.008290013298392296,0.0,0.869414816229997,1,1
monitor anything i have posted,"Runs smoothly on my Kindle and syncs with my account, therefore all my devices are updated and match.The mobile version is easy to use, I haven't posted a sale with my Kindle, but I am able to monitor anything I have posted from my phone or computer, and I can easily search and bid on items without any problems.",monitor bids,"I did not attempt to perform any sales from the application, but I did check and monitor bids, and it was effective.;You can log into the application, view and monitor bids and create new bids.",0,0,0,0.9916166663169861,0.665099024772644,0.006505040917545557,0.18524259328842163,0.8878188942641211,0.6922569125890732,0.15476190476190477,0.6922569125890732,0.18524259328842163,0.0,0.7900379034265972,1,0
opened,"I sat down today to continue watching my show when I opened the Netflix app, or I should say that I tried to open the app, but a connection error popped up.",opens,Opens on silk just fine.;I have an HTC One M8 and for some reason this app opens and then closes without out any option for me to do anything.,1,1,1,0.6954255104064941,0.9936652183532715,0.2863016724586487,0.004054591991007328,0.8521527698189002,0.7479491010308266,0.03,0.7479491010308266,0.2863016724586487,0.0,0.8000509354248634,1,1
pics,easy to download and use everything is there at your fingertips and the pics look awesome in HD just perfect;I have a normal phone and it made 1 of my pics look like one of a iphone 6 if u dont believe me look at my instagran account ... wings_2004,picture,"Picture quality is great, and I am not having the issue with the border staying on the screen.;Very little loading time and great picture;Netflix is wat i recommend to all the movie lovers out there i watch movies on Netflix every day with the best picture quality ever;Sometimes the picture it's all the clear but I really like Netflix app!!",1,1,1,0.9952560067176819,0.9945991039276123,0.0022546572145074606,0.0036739641800522804,0.9970296881774825,0.7384301126003265,0.05194805194805195,0.7384301126003265,0.0036739641800522804,0.0,0.8677299003889045,1,1
play my music,After my 7 days ended I couldn't play my music,play songs,"First, you can only play songs in Shuffle play.",1,1,1,0.9672633409500122,0.6417451500892639,0.009513459168374538,0.0822661817073822,0.9383173941791684,0.7814579457044601,0.15441176470588236,0.7814579457044601,0.0822661817073822,0.0,0.8598876699418143,1,1
posts hidden,"I like the layout of the application, but I like my applkication posts hidden once I have viewed them.",posts loading,i have trouble with the posts loading.,0,0,0,0.04256756976246834,0.9021263718605042,0.9133332371711731,0.01912844553589821,0.5118839436778445,0.7164820209145546,0.2777777777777778,0.7164820209145546,0.9133332371711731,0.0,0.0,0,1
premiem,I want premiem but I don't have a credit card.,premium,"Works great for working out and premium is beyond worth it!!!!;please fix the terrible spell check for Pc and list the upgrade price in the app and I would pay for premium.;With Premium acc is good, but if you don't have Premium, app is very horrible.;Love it to bits ( Premium) but I have to restart my phone everytime;The only thing bad is atlest give unlimited skips and play when ever you want to people who don't have premium;Other than that premium is too expensive but still good app.",1,1,1,0.9889336824417114,0.9211931824684143,0.005126548931002617,0.07458893209695816,0.9599689635200288,0.6498317867517471,0.04477611940298507,0.6498317867517471,0.07458893209695816,0.0,0.804900375135888,1,1
program,I also recommend it to those who enjoy a good movie/program with a message for the good.,programmes,"Excellent, very easy to find what you want and I think the &#34;films like ......&#34; that shows movies or programmes similar to the ones you've watched is a great idea.",1,1,1,0.507750928401947,0.9945257902145386,0.04540431499481201,0.002387820277363062,0.9577611757213611,0.7975122034549713,0.05,0.7975122034549713,0.04540431499481201,0.0,0.8776366895881662,1,1
respond,Everytime I try to use the app it doesn't respond and I keep reporting it but nothing.;Sometimes takes too long to respond;My whatsapp suddenly doesn't respond and a box I think that says'its not responding wanna close it' appears.,responding,alot of time it is not responding which is very frustratingI get tired waiting to be able to continue my work,1,1,1,0.36810368299484253,0.9427003860473633,0.6136640906333923,0.010447841137647629,0.6819891257168671,0.8513757884502411,0.052083333333333336,0.8513757884502411,0.6136640906333923,0.0,0.7666824570835541,1,1
sending pictures,I have so much fun with my dude n ho's sending voice messages songs videos n pictures.,sending images,the app is responsive but one problem.when sending a message to someone the plus nd smokey face Icon for sending images is their but when I press it no options for pics or stickers to send comes up.not a major problem to me although to some people probably yes.fixxxxx asap,1,1,1,0.976070761680603,0.9948146939277649,0.00747176306322217,0.003571221837773919,0.994413098761322,0.7717047519981861,0.18421052631578946,0.7717047519981861,0.00747176306322217,0.0,0.8830589253797541,1,1
t.v.,"Overall, the best area now that will give the best deals for t.v. and movies.",t.v. show options,"Almost all of the movie and t.v. show options for the adults like me with an array of action, suspense, and at rare occasions the horror movie fix option is always there, too.",0,0,0,0.16667044162750244,0.9815539121627808,0.15387795865535736,0.006189301609992981,0.7568439640856817,0.7204079777002335,0.3157894736842105,0.7204079777002335,0.15387795865535736,0.0,0.7386259708929576,0,1
updates,"Constantly wants to update but updates fail.;I loved the Spotify app until the recent updates.;I like listening to the music on here but I am getting upset about the updates and problems that app is having.;...but with the constant updates, now it just crashes.;For all the updates, it's not getting better, just slowing down and offering less functionality...;I did love this app but now since the last two updates it keeps shutting down whenever I open up another app.;This application used to work - now with last 3 &#34;updates&#34; it will not connect to the network.;Frustrating it updates so often & only vague descriptions of what is in the updates.;With the new update it doesn't have the thing at the bottom that shows the album artwork.;Its a bit processor heavy but the updates are tweaking it into place (hopefully).;Yes this is a nice app but come on, I mean, it updates every day or two and the update is just """"bugs fixed"""" I'm sick and tired of that.;Though this is the full Facebook app, it tends to lag behind in updates.;Frustrating it updates so often & only vague descriptions of what is in the updates.;I have the same problem on two different phones, even after several updates to the app.No matter what I do with the notifications, they never stop.",upgrade,"They embedded a volume bar into the app which is a nice upgrade.;the lack of availability on streaming doesn't make me want to upgrade, it just pisses me off.",0,0,0,0.9710981249809265,0.9733626842498779,0.02387329377233982,0.01243176031857729,0.9816975628233706,0.7745532542467117,0.050724637681159424,0.7745532542467117,0.02387329377233982,0.0,0.8781254085350412,1,0
violence,I enjoy comedy and mystery but not as much violence.,violent movies,I like Netflix but I wish they would submit less violent movies.,0,0,0,0.007713955361396074,0.7657515406608582,0.9632886052131653,0.16927939653396606,0.41345140941413033,0.8399066179990768,0.05263157894736842,0.8399066179990768,0.9632886052131653,0.0,0.0,0,1
watch a movie,"everytime I decide to watch a movie, I can't find it on Netflix.;Anytime i want to catch a breather from my work on campus I pull out my kindle and watch a few tv shows or a movie.",watch all my.movies,i love netflex it is.awesome it works VERY well i love.it i watch all my.movies.nd.shows on this.its better than red box or hulu but tht is my opinion,1,1,1,0.5317401885986328,0.9934148788452148,0.36511266231536865,0.002741309581324458,0.7950718923208532,0.7688159123063087,0.15476190476190477,0.7688159123063087,0.36511266231536865,0.0,0.781943902313581,1,1
watch shows,i love netflex it is.awesome it works VERY well i love.it i watch all my.movies.nd.shows on this.its better than red box or hulu but tht is my opinion,watch some shows,"Recently, I have been bringing my Fire to work so I can watch some shows while on my lunch break.",1,1,1,0.9942775368690491,0.9950810670852661,0.0023194404784590006,0.0017184974858537316,0.997974302175245,0.7774428352713585,0.3958333333333333,0.7774428352713585,0.0023194404784590006,0.0,0.8877085687233017,1,1
shuffle play,"First, you can only play songs in Shuffle play.",shuffle playing,Tired of shuffle playing,1,1,1,0.9829811453819275,0.17165175080299377,0.0031625658739358187,0.5002942681312561,0.6261238282234824,0.9002145230770111,0.2121212121212121,0.9002145230770111,0.5002942681312561,0.0,0.7631691756502468,1,1
shutting down,I did love this app but now since the last two updates it keeps shutting down whenever I open up another app.,shutting it down,"Every once in a while, I have issues getting this to load on my kindle; shutting it down and restarting does not fix the problem.",1,1,1,0.9872018098831177,0.7053697109222412,0.007078524213284254,0.28444260358810425,0.8527552488398535,0.8381046876311302,0.41025641025641024,0.8381046876311302,0.28444260358810425,0.0,0.8454299682354919,1,1
song,It was all right but after like 30 days asked me to buy premium pack after every song ??,songs,One of the songs by artist MariKKKopa was clearly hateful angry racist ranting.;Still needs updating with.more songs/artists bit other than that it's great!,1,1,1,0.9370437860488892,0.9057185649871826,0.013767872005701065,0.04971364513039589,0.9667436150785822,0.7609330788254738,0.024390243902439025,0.7609330788254738,0.04971364513039589,0.0,0.863838346952028,1,1
start screen,You may consider upgrading if archiving large quantities of PDFs and Pictures is your goal.On the Kindle Fire this apps start screen is a little redundant.,start watching,It's nice to be able to start watching on my Kindle something I stopped watching on my TV.,0,0,0,0.29071033000946045,0.971419095993042,0.6881527304649353,0.007842662744224072,0.6444894893250759,0.713090218603611,0.20614035087719296,0.713090218603611,0.6881527304649353,0.0,0.6787898539643434,0,1
storing interesting quotes,"I use this app pretty much everyday for storing interesting quotes, or jotting down ideas.",store my thoughts,I can easily store and organize my thoughts in ways I never imagined.,1,1,1,0.9861737489700317,0.007036167196929455,0.0030543506145477295,0.027646079659461975,0.5998937524674284,0.6812053769826889,0.019230769230769232,0.6812053769826889,0.027646079659461975,0.0,0.6405495647250586,0,0
streaming free shows,"I haven't really used this yet, I have been just streaming free shows and movies from my kindle fire.",streaming plan,i am constantly frustrated by the lack of material available on the streaming plan... ESPECIALLY when it says that the disc is availablce!,0,0,0,0.9496487379074097,0.09939662367105484,0.0246084313839674,0.04786183685064316,0.8248610083345299,0.7639769911766052,0.1513157894736842,0.7639769911766052,0.04786183685064316,0.0,0.7944189997555675,1,0
sync,"This app is great, compatible with so many programs, great sharing options and the sync has never failed me between my PC, GS3, Kindle Fire and Notebook!;I love this app including the PC version and I especially love the easy sync.;sync feature really convenient.;use it for school assignments on the go and sync and save often.",sync issues with audio,sync issues with audio and severe video lag.,0,0,0,0.00202303659170866,0.9039210677146912,0.964641809463501,0.009864370338618755,0.495648863849957,0.7265252992510796,0.15625,0.7265252992510796,0.964641809463501,0.0,0.0,0,1
synch,"What's more, its cloud interface allows seamless synch.",synching,Good enough synching which is why I needed it in the first place.,1,1,1,0.9572397470474243,0.9867846369743347,0.011142767034471035,0.0028668770100921392,0.9927982743011589,0.8823992311954498,0.0,0.8823992311954498,0.011142767034471035,0.0,0.9375987527483043,1,1
watching,"I love that I can stream movies and certain tv shows when I feel like watching them.;But Netflix currently has an audio sync problem that makes watching anything extremely difficult.;If one of my children aren't watching something on their Kindle Fires with Netflix, then my husband or I are.",watching a movie,Watching a movie is blurry for a while and clears up most of the time.,0,0,0,0.900301992893219,0.8511239886283875,0.08911024034023285,0.016177784651517868,0.9456415795454736,0.761451929807663,0.19393939393939394,0.761451929807663,0.08911024034023285,0.0,0.8535467546765683,1,0
hook up with family,Let me hook up with family and friends.,hook up with friends,Let me hook up with family and friends.,0,0,0,0.9861576557159424,0.9838698506355286,0.0011042265687137842,0.0016247550956904888,0.998616418116124,0.904217004776001,0.8,0.904217004776001,0.0016247550956904888,0.0,0.9514167114460625,1,0
idea pad for screenplays,I like that this can act as my idea pad for songs and screenplays.,idea pad for songs,I like that this can act as my idea pad for songs and screenplays.,0,0,0,0.9952185750007629,0.9953162670135498,0.0011508867610245943,0.0010249257320538163,0.9989081050578783,0.9154322147369385,0.8,0.9154322147369385,0.0011508867610245943,0.0,0.9571701598974084,1,0
load as blue text,After the first 10 or so posts the rest just load as blue text without pictures and it doesn't change after refresh.,load it up will all sorts of personal information,"I found the app to be too invasive in that it wants you to load it up will all sorts of personal information on all of your devices that it will then share with, seemingly, anyone who wants it.",0,0,0,0.0017189623322337866,0.11519015580415726,0.8887659907341003,0.13343052566051483,0.23262360862677559,0.5811964627355337,0.07291666666666666,0.5811964627355337,0.8887659907341003,0.0,0.0,0,1
messaging,Missing functionality in messaging &amp; events.;Great Messaging and Great Images Sharing,messenger,I think messenger is included for quasi private emails.,0,0,0,0.810880720615387,0.980755090713501,0.07704927027225494,0.0029585689771920443,0.9551091955827573,0.8066617548465729,0.0,0.8066617548465729,0.07704927027225494,0.0,0.8808854752146651,1,0
naviagte,it is easy to naviagte and it feels like you are online at home,naviagte,"So much easier to navigate than Amazon.;User friendly app that loads quickly and well and is easy to navigate and find what you need.;The app is a lot friendlier than the site, and easy to navigate and keep track of my bids.;Great way to navigate eBay on my Kindle Fire HD.;Easy to navigate and loads quickly.;It's very easy to use and easy to navigate.;This app is easy to navigate and a joy to use!!",1,1,1,0.9618100523948669,0.996780514717102,0.004466263577342033,0.001042948104441166,0.9971663087395196,0.8502595201134682,0.5588235294117647,0.8502595201134682,0.004466263577342033,0.0,0.923712914426494,1,1
old shows,"AND EVEN OLD SHOWS THAT I LOVED YEARS AGO, LIKE QUINCY!",older movies,To many older movies all the time.,0,0,0,0.4583103358745575,0.7149174213409424,0.14983849227428436,0.028746524825692177,0.8574800673325773,0.7647589892148972,0.0,0.7647589892148972,0.14983849227428436,0.0,0.8111195282737372,1,0
opened,"I sat down today to continue watching my show when I opened the Netflix app, or I should say that I tried to open the app, but a connection error popped up.",opens,Opens on silk just fine.;I have an HTC One M8 and for some reason this app opens and then closes without out any option for me to do anything.,1,1,1,0.6954255104064941,0.9936652183532715,0.2863016724586487,0.004054591991007328,0.8521527698189002,0.7479491010308266,0.03,0.7479491010308266,0.2863016724586487,0.0,0.8000509354248634,1,1
organize scanned note,"I needed something that could at least reasonably organize scanned note from classes like Calculus and Gen Chem, where notes cant be taken on the computer reasonably.",organize them in notebooks,"i can access my notes from my other computers, organize them in notebooks and tags and add web content and other attachments that make this app an excellent addition to any computer, tablet, or phone.",0,0,0,0.10426655411720276,0.4751352071762085,0.029659580439329147,0.3927915394306183,0.6629873485351596,0.7724464535713196,0.15333333333333332,0.7724464535713196,0.3927915394306183,0.0,0.7177169010532396,0,1
payment,"Then I ran into a problem when I tried to buy something, my payment got hung up, could not make my purchase.",payments,"It's easy to navigate through the different pages or selling, sold, payments, et cetera.",1,1,1,0.9853867292404175,0.5627792477607727,0.0029550802428275347,0.09346304833889008,0.927294242115642,0.7882833406329155,0.014705882352941176,0.7882833406329155,0.09346304833889008,0.0,0.8577887913742788,1,1
photo editor,A powerful photo editor with many wonderfull effects;Best photo editor i have seen,photos editer,This app is very good for photos editer,1,1,1,0.9870437979698181,0.9057473540306091,0.0017791329883038998,0.009494775906205177,0.993913338391192,0.8874343037605286,0.0,0.8874343037605286,0.009494775906205177,0.0,0.9406738210758603,1,1
post photos,on my kindle fire this is the only way I have to post photos on facebook now since facebooks last stupid change to their uploading.,post some photos,I post some photos last night and when i browse it now i cant see it.,1,1,1,0.9951111674308777,0.9755232334136963,0.00204167771153152,0.007153393235057592,0.9953364869494665,0.8391708135604858,0.4139784946236559,0.8391708135604858,0.007153393235057592,0.0,0.9172536502549762,1,1
profile management,"I llike the new profile management, but I it needs to be expanded to provide better parental controls.",profile page,There is this annoying bug where I can't reach some half of my tweets on my profile page.,0,0,0,0.9879148006439209,0.9720364212989807,0.0030147633515298367,0.005758641753345728,0.9955341025190574,0.7366184890270233,0.19791666666666666,0.7366184890270233,0.005758641753345728,0.0,0.8660762957730403,1,0
protect posting,The site does not have enough privacy protection -- I do not want the entire world to know (my personal information or what I share with my friends) -- only my friends ---- plus I do not like the options that protect the sharing and posting functions -- options need to have conditions such as only with my friends or open to all.,protect the sharing,The site does not have enough privacy protection -- I do not want the entire world to know (my personal information or what I share with my friends) -- only my friends ---- plus I do not like the options that protect the sharing and posting functions -- options need to have conditions such as only with my friends or open to all.,0,0,0,0.9866282343864441,0.9899137020111084,0.010341007262468338,0.007132678292691708,0.9912368642812341,0.8841138631105423,0.625,0.8841138631105423,0.010341007262468338,1.0,0.6563727545871217,0,1
reinstalled,"I have been a subscriber to the premium service for over a year now and had the free service for a year prior to that I am getting very frustrated, I have uninstalled and reinstalled several times the problem is getting worse!;I have deleted the a pop and reinstalled it several times.",reinstalling,When I open the app it keeps reinstalling itself over and over again please fix it today it's going to make the masses hate you if you dont;And I uninstalled it but it keeps reinstalling itself.;The app has crashed and after reinstalling it is not allowing me to register againg.;its a really cool app most of the time but I hats when it wont load so I uninstalles it with the plans of reinstalling it to see if it could get off the title page but now I cant reinstall it for whatever reason and it makes me really mad :l so then I try to search it on the appstore since it wont let me reinstall it on the homepage that dosen't work either ANDNOWIWANTTOSCREAMIHATETHISIHATETHISTHATETHISBUTIREALLWISHITWOUKDWORK,1,1,1,0.9919601082801819,0.9893932342529297,0.0056673274375498295,0.007789118681102991,0.9932540234436662,0.7967550903558731,0.061224489795918366,0.7967550903558731,0.007789118681102991,0.0,0.8950045568997697,1,1
save recipes,I use it in tandem with Pulse to save recipes.,save online,Anything you need to save online and/or add notes to comes together perfectly in this app.,0,0,0,0.4863441586494446,0.0014754810836166143,0.07037246227264404,0.032184798270463943,0.4587141025149956,0.7038810700178146,0.23188405797101447,0.7038810700178146,0.07037246227264404,0.0,0.5812975862664052,0,1
stay in touch,It's not exactly the same as playing on your home computer but you are able to stay in touch.,stay in touch with,Facebook helps you keep in touch with friends that otherwise would be literally impossible to stay in touch with.,0,0,0,0.9603164196014404,0.9488487839698792,0.005172135774046183,0.014895346947014332,0.9895936291879084,0.8342342227697372,0.45564516129032256,0.8342342227697372,0.014895346947014332,0.0,0.9119139259788228,1,0
synchronizing across platforms,"I like synchronizing across platforms, especially.",synchs across all my devices,I love the fact that it synchs across all my devices automatically.,0,0,0,0.34289467334747314,0.9510446786880493,0.007416002918034792,0.009351586923003197,0.9845464780937492,0.875520259141922,0.13392857142857142,0.875520259141922,0.009351586923003197,0.0,0.9300333686178356,1,0
time lines,The full news feed and peoples time lines will not load all the way.,timeline,Timeline keeps jumping to the top and hours of tweets get lost.,1,1,1,0.6340439915657043,0.7806654572486877,0.038503941148519516,0.007565754000097513,0.9665753642876329,0.7466918751597404,0.043478260869565216,0.7466918751597404,0.038503941148519516,0.0,0.8566336197236867,1,1
type,"At some point, you will type something that contains a friend or liked interest and you will not be able to type what you intended to.",type it in a bar,"On Netflix, there is a list of what I've watched recently plus I can just type it in a bar and it comes up if they have it.",0,0,0,0.002695250790566206,0.9777160286903381,0.006275930907577276,0.00925146322697401,0.6455301704030735,0.6937219202518463,0.14761904761904762,0.6937219202518463,0.00925146322697401,0.0,0.6696260453274598,0,1
unlike someone,They forgot to let you unlike someone so please fix.,likes,"Is this true that the updated version of whatsapp will provide us video calling n likes & comments features???;I do wish there was a better(any) alert system like on your iPhone for when you get new alerts(comments, likes, messages).",0,0,0,0.008013407699763775,0.9423625469207764,0.9808878898620605,0.04827187955379486,0.47968754354175036,0.6205021506175399,0.010416666666666666,0.6205021506175399,0.9808878898620605,0.0,0.0,0,1
update the latest version,I can't update the latest version what the hell?!,upgrade,"They embedded a volume bar into the app which is a nice upgrade.;the lack of availability on streaming doesn't make me want to upgrade, it just pisses me off.",0,0,0,0.9366182684898376,0.2846320867538452,0.02863420732319355,0.18555499613285065,0.7878471034219366,0.7488366886973381,0.029411764705882353,0.7488366886973381,0.18555499613285065,0.0,0.7683418960596373,1,0
video stream,"Video stream was very good and at my home DSL wireless,as good as a Dvd player.the bottom tool bar get minimized and it is not annoying at all.Overall a good app for netflix movies.",videos load,The videos load very fast and look good!,1,1,1,0.964195728302002,0.7286238670349121,0.026594014838337898,0.007930012419819832,0.9811961880831271,0.780001811683178,0.05714285714285714,0.780001811683178,0.026594014838337898,0.0,0.8805989998831525,1,1
view my own timeline,even can't view my own timeline,view your timeline,The Facebook app most recent update forces you to view your timeline in Top Stories format.;You no longer have the option to view your timeline in Most Recent order.,1,1,1,0.6348221302032471,0.7436256408691406,0.21049197018146515,0.09767389297485352,0.817445393438939,0.8500063270330429,0.23846153846153847,0.8500063270330429,0.21049197018146515,0.0,0.8337258602359909,1,1
watching my friends,Love watching my family and friends out of state,watching my show,"I sat down today to continue watching my show when I opened the Netflix app, or I should say that I tried to open the app, but a connection error popped up.",0,0,0,0.03933919966220856,0.011201293207705021,0.8714247345924377,0.9822685718536377,0.027234274282854708,0.7475598156452179,0.2803030303030303,0.7475598156452179,0.9822685718536377,0.0,0.0,0,1
get past login,"I have used this app for most of the year, but as of yesterday I have not been able to get past login blue screen.",log in,"awesome app but first you have to log out and in but still awesome app you should get it it is great;The app worked generally as expected the first launch.But today it required that I log in again (why I was logged out is unknown) then crashes after a login timeout.;When I'm trying to log in with facebook a message appears with: I tried to log in from another county ?? please, give me support;The app won't let me log in.;I love it jus like a pc very easy to log in and out enjoy friends and meet new ones along with family and classmates.would reccomend to everyone;Log in easy, search easy.",1,1,1,0.9948732256889343,0.9939104318618774,0.0020207890775054693,0.004056921694427729,0.9969538550288057,0.8053026050329208,0.05172413793103448,0.8053026050329208,0.004056921694427729,0.0,0.9011282300308633,1,1
look at pictures,"Won't load people's pages, freezes when I try to watch a video, I have to force close the app when I look at pictures, and news feed doesn't lead.",view pictures,I can also view pictures of family and friends.,1,1,1,0.9676278829574585,0.9893578886985779,0.00950537994503975,0.0012187549145892262,0.9945209036617952,0.7358685806393623,0.17045454545454547,0.7358685806393623,0.00950537994503975,0.0,0.8651947421505788,1,1
found many friends,i picked 5 stars because facebook is the best.i have found many friends and relatives i havent seen in years.how can you beat that.i am hook on facebook.should have been on it sooner.,found relatives,i picked 5 stars because facebook is the best.i have found many friends and relatives i havent seen in years.how can you beat that.i am hook on facebook.should have been on it sooner.,0,0,0,0.9931140542030334,0.9953988194465637,0.00320615665987134,0.0014655698323622346,0.9976559010100923,0.8838745653629303,0.625,0.8838745653629303,0.00320615665987134,1.0,0.6585356632305579,0,1
listen to music,Have to restart my phone to listen to music again;The app is constantly telling me I am offline when I have Internet to be able to listen to music.;So cool have to listen to music;All you just do is listen to music.;When I sleep I live to listen to music and it would be better if a timer was added.;The app tells me it is offline when I try to listen to music on my network data connection.,listen to my 80's music,I was able to find all the old albums I used to have and listen to my 80's music again.,1,1,1,0.0006096319411881268,0.9794602394104004,0.0010441545164212584,0.004651616793125868,0.6819495066322496,0.7224767953157425,0.37,0.7224767953157425,0.004651616793125868,0.0,0.7022131509739961,0,0
have access,I was looking for and quick and easy way to write on my kindle and have access to it everywhere.,have access to my business,I like being on the run and still have access to my business.,0,0,0,0.07661305367946625,0.9885485172271729,0.032676734030246735,0.0021474387031048536,0.8494203344474425,0.6833538161590695,0.3521739130434783,0.6833538161590695,0.032676734030246735,0.0,0.766387075303256,1,0
contact won't show up,But then the contact won't show up in Whatsapp unless u add +91.,contact with my family,This application is good for adult and teens it was download by my nice but my kids don't have a password but is good for mammy I got my Facebook and its great to be in contact with my family,0,0,0,0.0012287974823266268,0.002278087195008993,0.0012476140400394797,0.9805849194526672,0.24925832281819343,0.6209939830005169,0.10901162790697674,0.6209939830005169,0.9805849194526672,0.0,0.0,0,1
choose my evening movies,I can choose my evening movies while away from my TV.,choose shows from the menu,You can choose shows from the menu and netflix tries to predict what shows you will like based on previous ratings.,0,0,0,0.20232734084129333,0.03854583576321602,0.033668402582407,0.058332670480012894,0.6276063621218748,0.6929031684994698,0.1201923076923077,0.6929031684994698,0.058332670480012894,0.0,0.6602547653106723,0,1
